Schema Version,Record Type,Source Name,Source URL,Product Name,Description,Pricing,Category,Downloads,Likes,Tags,Collected At
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/FacebookAI/xlm-roberta-base,FacebookAI/xlm-roberta-base,AI/ML model hosted on Hugging Face Hub,UNKNOWN,fill-mask,21677276,895,"transformers, pytorch, tf, jax, onnx, safetensors, xlm-roberta, fill-mask, exbert, multilingual, af, am, ar, as, az, be, bg, bn, br, bs, ca, cs, cy, da, de, el, en, eo, es, et, eu, fa, fi, fr, fy, ga, gd, gl, gu, ha, he, hi, hr, hu, hy, id, is, it, ja, jv, ka, kk, km, kn, ko, ku, ky, la, lo, lt, lv, mg, mk, ml, mn, mr, ms, my, ne, nl, no, om, or, pa, pl, ps, pt, ro, ru, sa, sd, si, sk, sl, so, sq, sr, su, sv, sw, ta, te, th, tl, tr, ug, uk, ur, uz, vi, xh, yi, zh, arxiv:1911.02116, license:mit, endpoints_compatible, region:us, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-generation,21035280,1597,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/openai/clip-vit-base-patch32,openai/clip-vit-base-patch32,AI/ML model hosted on Hugging Face Hub,UNKNOWN,zero-shot-image-classification,21008990,1397,"transformers, pytorch, tf, jax, clip, zero-shot-image-classification, vision, arxiv:2103.00020, arxiv:1908.04913, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Comfy-Org/MiniMax-H3,Comfy-Org/MiniMax-H3,AI/ML model hosted on Hugging Face Hub,UNKNOWN,AI_MODEL,18813055,1759,"diffusion-single-file, comfyui, base_model:MiniMaxAI/MiniMax-H3, base_model:finetune:MiniMaxAI/MiniMax-H3, license:other, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-generation,18620166,24,"transformers, safetensors, qwen2, text-generation, trl, conversational, text-generation-inference, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/BAAI/bge-reranker-v2-m3,BAAI/bge-reranker-v2-m3,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-classification,18212308,1165,"sentence-transformers, safetensors, xlm-roberta, text-classification, transformers, text-embeddings-inference, multilingual, arxiv:2312.15503, arxiv:2402.03216, license:apache-2.0, endpoints_compatible, deploy:azure, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Comfy-Org/stable-diffusion-v1-5-archive,Comfy-Org/stable-diffusion-v1-5-archive,AI/ML model hosted on Hugging Face Hub,UNKNOWN,AI_MODEL,17379879,128,"diffusion-single-file, comfyui, en, base_model:runwayml/stable-diffusion-v1-5, base_model:finetune:runwayml/stable-diffusion-v1-5, license:creativeml-openrail-m, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,timm/mobilenetv3_small_100.lamb_in1k,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-classification,16884718,103,"timm, pytorch, safetensors, image-classification, transformers, dataset:imagenet-1k, arxiv:2110.00476, arxiv:1905.02244, license:apache-2.0, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-8B-Instruct,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-text-to-text,16473284,1088,"transformers, safetensors, qwen3_vl, image-text-to-text, conversational, arxiv:2505.09388, arxiv:2502.13923, arxiv:2409.12191, arxiv:2308.12966, license:apache-2.0, eval-results, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5,nomic-ai/nomic-embed-text-v1.5,AI/ML model hosted on Hugging Face Hub,UNKNOWN,sentence-similarity,16124079,908,"sentence-transformers, onnx, safetensors, nomic_bert, feature-extraction, sentence-similarity, mteb, transformers, transformers.js, custom_code, en, arxiv:2402.01613, arxiv:2205.13147, license:apache-2.0, model-index, eval-results, text-embeddings-inference, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/openai-community/gpt2,openai-community/gpt2,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-generation,14981665,3906,"transformers, pytorch, tf, jax, tflite, rust, onnx, safetensors, gpt2, text-generation, exbert, en, doi:10.57967/hf/0039, license:mit, text-generation-inference, endpoints_compatible, deploy:azure, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-japanese,jonatasgrosman/wav2vec2-large-xlsr-53-japanese,AI/ML model hosted on Hugging Face Hub,UNKNOWN,automatic-speech-recognition,14334899,65,"transformers, pytorch, jax, wav2vec2, automatic-speech-recognition, audio, speech, xlsr-fine-tuning-week, ja, dataset:common_voice, doi:10.57967/hf/3568, license:apache-2.0, model-index, endpoints_compatible, region:us, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/BAAI/bge-large-en-v1.5,BAAI/bge-large-en-v1.5,AI/ML model hosted on Hugging Face Hub,UNKNOWN,feature-extraction,13042109,721,"sentence-transformers, pytorch, onnx, safetensors, bert, feature-extraction, sentence-similarity, transformers, mteb, en, arxiv:2401.03462, arxiv:2312.15503, arxiv:2311.13534, arxiv:2310.07554, arxiv:2309.07597, license:mit, model-index, eval-results, text-embeddings-inference, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen3-8B,Qwen/Qwen3-8B,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-generation,12883281,1365,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, arxiv:2505.09388, base_model:Qwen/Qwen3-8B-Base, base_model:finetune:Qwen/Qwen3-8B-Base, license:apache-2.0, eval-results, text-generation-inference, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-generation,12756868,983,"transformers, gguf, unsloth, qwen3, qwen, text-generation, arxiv:2505.09388, base_model:Qwen/Qwen3-Coder-30B-A3B-Instruct, base_model:quantized:Qwen/Qwen3-Coder-30B-A3B-Instruct, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/intfloat/multilingual-e5-small,intfloat/multilingual-e5-small,AI/ML model hosted on Hugging Face Hub,UNKNOWN,sentence-similarity,12369093,401,"sentence-transformers, pytorch, onnx, safetensors, openvino, bert, mteb, Sentence Transformers, sentence-similarity, multilingual, af, am, ar, as, az, be, bg, bn, br, bs, ca, cs, cy, da, de, el, en, eo, es, et, eu, fa, fi, fr, fy, ga, gd, gl, gu, ha, he, hi, hr, hu, hy, id, is, it, ja, jv, ka, kk, km, kn, ko, ku, ky, la, lo, lt, lv, mg, mk, ml, mn, mr, ms, my, ne, nl, no, om, or, pa, pl, ps, pt, ro, ru, sa, sd, si, sk, sl, so, sq, sr, su, sv, sw, ta, te, th, tl, tr, ug, uk, ur, uz, vi, xh, yi, zh, arxiv:2402.05672, arxiv:2108.08787, arxiv:2104.08663, arxiv:2210.07316, license:mit, model-index, eval-results, text-embeddings-inference, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/timm/efficientnet_b3.ra2_in1k,timm/efficientnet_b3.ra2_in1k,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-classification,12297453,7,"timm, pytorch, safetensors, image-classification, transformers, dataset:imagenet-1k, arxiv:2110.00476, arxiv:1905.11946, license:apache-2.0, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen3.6-35B-A3B-FP8,Qwen/Qwen3.6-35B-A3B-FP8,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-text-to-text,12066045,381,"transformers, safetensors, qwen3_5_moe, image-text-to-text, conversational, base_model:Qwen/Qwen3.6-35B-A3B, base_model:quantized:Qwen/Qwen3.6-35B-A3B, license:apache-2.0, endpoints_compatible, fp8, region:us, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/hexgrad/Kokoro-82M,hexgrad/Kokoro-82M,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-to-speech,11643539,6843,"text-to-speech, en, arxiv:2306.07691, arxiv:2203.02395, base_model:yl4579/StyleTTS2-LJSpeech, base_model:finetune:yl4579/StyleTTS2-LJSpeech, doi:10.57967/hf/4329, license:apache-2.0, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/argmaxinc/whisperkit-coreml,argmaxinc/whisperkit-coreml,AI/ML model hosted on Hugging Face Hub,UNKNOWN,automatic-speech-recognition,11634364,206,"whisperkit, coreml, whisper, asr, quantized, automatic-speech-recognition, license:mit, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/unsloth/Qwen3.8-27B-GGUF,unsloth/Qwen3.8-27B-GGUF,AI/ML model hosted on Hugging Face Hub,UNKNOWN,AI_MODEL,11127203,3853,"gguf, qwen3_5, unsloth, base_model:Qwen/Qwen3.8-27B, base_model:quantized:Qwen/Qwen3.8-27B, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen3.5-9B,Qwen/Qwen3.5-9B,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-text-to-text,10922333,1921,"transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.5-9B-Base, base_model:finetune:Qwen/Qwen3.5-9B-Base, license:apache-2.0, eval-results, endpoints_compatible, deploy:sagemaker, deploy:azure, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/BAAI/bge-base-en-v1.5,BAAI/bge-base-en-v1.5,AI/ML model hosted on Hugging Face Hub,UNKNOWN,feature-extraction,10718782,470,"sentence-transformers, pytorch, onnx, safetensors, bert, feature-extraction, sentence-similarity, transformers, mteb, en, arxiv:2401.03462, arxiv:2312.15503, arxiv:2311.13534, arxiv:2310.07554, arxiv:2309.07597, license:mit, model-index, text-embeddings-inference, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-generation,10210137,1588,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071, arxiv:2407.10671, base_model:Qwen/Qwen2.5-7B, base_model:finetune:Qwen/Qwen2.5-7B, license:apache-2.0, eval-results, text-generation-inference, endpoints_compatible, deploy:sagemaker, deploy:azure, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/nvidia/Qwen3.6-35B-A3B-NVFP4,nvidia/Qwen3.6-35B-A3B-NVFP4,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-generation,10030544,592,"Model Optimizer, safetensors, qwen3_5_moe, nvidia, ModelOpt, Qwen3.6, quantized, FP4, fp4, text-generation, conversational, base_model:Qwen/Qwen3.6-35B-A3B, base_model:quantized:Qwen/Qwen3.6-35B-A3B, license:apache-2.0, 8-bit, modelopt, deploy:azure, deploy:sagemaker, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Bingsu/adetailer,Bingsu/adetailer,AI/ML model hosted on Hugging Face Hub,UNKNOWN,AI_MODEL,9661726,767,"ultralytics, pytorch, dataset:wider_face, dataset:skytnt/anime-segmentation, doi:10.57967/hf/3633, license:apache-2.0, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,AI/ML model hosted on Hugging Face Hub,UNKNOWN,sentence-similarity,9285784,495,"sentence-transformers, pytorch, tf, onnx, safetensors, openvino, xlm-roberta, feature-extraction, sentence-similarity, transformers, text-embeddings-inference, multilingual, ar, bg, ca, cs, da, de, el, en, es, et, fa, fi, fr, gl, gu, he, hi, hr, hu, hy, id, it, ja, ka, ko, ku, lt, lv, mk, mn, mr, ms, my, nb, nl, pl, pt, ro, ru, sk, sl, sq, sr, sv, th, tr, uk, ur, vi, arxiv:1908.10084, license:apache-2.0, eval-results, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/pyannote/speaker-diarization-3.1,pyannote/speaker-diarization-3.1,AI/ML model hosted on Hugging Face Hub,UNKNOWN,automatic-speech-recognition,9091617,3516,"pyannote-audio, pyannote, pyannote-audio-pipeline, audio, voice, speech, speaker, speaker-diarization, speaker-change-detection, voice-activity-detection, overlapped-speech-detection, automatic-speech-recognition, arxiv:2111.14448, arxiv:2012.01477, license:mit, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/autogluon/chronos-2,autogluon/chronos-2,AI/ML model hosted on Hugging Face Hub,UNKNOWN,time-series-forecasting,9038338,49,"chronos-forecasting, safetensors, t5, time series, forecasting, foundation models, pretrained models, time-series-forecasting, dataset:autogluon/chronos_datasets, dataset:Salesforce/GiftEvalPretrain, arxiv:2403.07815, arxiv:2510.15821, license:apache-2.0, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/google/gemma-4-26B-A4B-it,google/gemma-4-26B-A4B-it,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-text-to-text,8867625,1486,"transformers, safetensors, gemma4, image-text-to-text, conversational, arxiv:2607.02770, base_model:google/gemma-4-26B-A4B, base_model:finetune:google/gemma-4-26B-A4B, license:apache-2.0, eval-results, endpoints_compatible, deploy:sagemaker, deploy:azure, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/amazon/chronos-bolt-small,amazon/chronos-bolt-small,AI/ML model hosted on Hugging Face Hub,UNKNOWN,time-series-forecasting,8821453,24,"chronos-forecasting, safetensors, t5, time series, forecasting, pretrained models, foundation models, time series foundation models, time-series, time-series-forecasting, arxiv:1910.10683, arxiv:2403.07815, license:apache-2.0, region:us, deploy:sagemaker",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/google/gemma-4-31B-it,google/gemma-4-31B-it,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-text-to-text,8744810,3756,"transformers, safetensors, gemma4, image-text-to-text, conversational, arxiv:2607.02770, base_model:google/gemma-4-31B, base_model:finetune:google/gemma-4-31B, license:apache-2.0, eval-results, endpoints_compatible, deploy:sagemaker, deploy:azure, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/laion/clap-htsat-fused,laion/clap-htsat-fused,AI/ML model hosted on Hugging Face Hub,UNKNOWN,audio-classification,8494383,128,"transformers, pytorch, safetensors, clap, feature-extraction, zero-shot audio classification, zero-shot audio retrieval, audio-classification, en, arxiv:2211.06687, license:apache-2.0, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/facebook/opt-125m,facebook/opt-125m,AI/ML model hosted on Hugging Face Hub,UNKNOWN,text-generation,8441816,296,"transformers, pytorch, tf, jax, opt, text-generation, en, arxiv:2205.01068, arxiv:2005.14165, license:other, text-generation-inference, region:us, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/facebook/contriever,facebook/contriever,AI/ML model hosted on Hugging Face Hub,UNKNOWN,AI_MODEL,7989699,97,"transformers, pytorch, bert, arxiv:2112.09118, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/FacebookAI/roberta-base,FacebookAI/roberta-base,AI/ML model hosted on Hugging Face Hub,UNKNOWN,fill-mask,7905555,642,"transformers, pytorch, tf, jax, rust, safetensors, roberta, fill-mask, exbert, en, dataset:bookcorpus, dataset:wikipedia, arxiv:1907.11692, arxiv:1806.02847, license:mit, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,AI/ML model hosted on Hugging Face Hub,UNKNOWN,feature-extraction,7806497,1189,"sentence-transformers, safetensors, qwen3, text-generation, transformers, sentence-similarity, feature-extraction, text-embeddings-inference, arxiv:2506.05176, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base, license:apache-2.0, endpoints_compatible, region:us, deploy:sagemaker, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/openai/clip-vit-large-patch14,openai/clip-vit-large-patch14,AI/ML model hosted on Hugging Face Hub,UNKNOWN,zero-shot-image-classification,7730667,2074,"transformers, pytorch, tf, jax, safetensors, clip, zero-shot-image-classification, vision, arxiv:2103.00020, arxiv:1908.04913, endpoints_compatible, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-text-to-text,7682009,1702,"transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071, arxiv:2409.12191, arxiv:2308.12966, license:apache-2.0, eval-results, text-generation-inference, endpoints_compatible, region:us, deploy:azure",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen3.8-27B-FP8,Qwen/Qwen3.8-27B-FP8,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-text-to-text,7468247,781,"transformers, safetensors, qwen3_5, image-text-to-text, conversational, base_model:Qwen/Qwen3.8-27B, base_model:quantized:Qwen/Qwen3.8-27B, license:apache-2.0, endpoints_compatible, fp8, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Comfy-Org/z_image_turbo,Comfy-Org/z_image_turbo,AI/ML model hosted on Hugging Face Hub,UNKNOWN,AI_MODEL,7444224,874,"diffusion-single-file, comfyui, base_model:Tongyi-MAI/Z-Image-Turbo, base_model:finetune:Tongyi-MAI/Z-Image-Turbo, license:apache-2.0, region:us",2026-09-11T04:52:02.520644+00:00
1.0,PRODUCT,Hugging Face Hub,https://huggingface.co/Qwen/Qwen3.8-27B,Qwen/Qwen3.8-27B,AI/ML model hosted on Hugging Face Hub,UNKNOWN,image-text-to-text,7322476,14664,"transformers, safetensors, qwen3_5, image-text-to-text, conversational, license:apache-2.0, eval-results, endpoints_compatible, deploy:azure, deploy:sagemaker, region:us",2026-09-11T04:52:02.520644+00:00
